2018-10-31 11:26:15.154,2018-10-31 11:26:20.219,5065
2018-10-31 11:26:20.219,2018-10-31 11:26:30.282,10063
2018-10-31 11:26:30.282,2018-10-31 11:26:45.352,15070
2018-10-31 11:26:45.352,2018-10-31 11:26:50.415,5063
2018-10-31 11:26:50.415,2018-10-31 11:27:00.484,10069
2018-10-31 11:27:00.484,2018-10-31 11:27:05.545,5061
2018-10-31 11:27:05.545,2018-10-31 11:27:20.615,15070
2018-10-31 11:27:20.615,2018-10-31 11:27:35.675,15060
2018-10-31 11:27:35.675,2018-10-31 11:27:40.740,5065
2018-10-31 11:27:40.740,2018-10-31 11:27:45.797,5057
2018-10-31 11:27:45.797,2018-10-31 11:28:10.883,25086
2018-10-31 11:28:10.883,2018-10-31 11:28:15.942,5059
2018-10-31 11:28:15.942,2018-10-31 11:28:36.005,20063
2018-10-31 11:28:36.005,2018-10-31 11:28:56.072,20067
2018-10-31 11:28:56.072,2018-10-31 11:29:01.134,5062
2018-10-31 11:29:01.134,2018-10-31 11:29:16.194,15060
2018-10-31 11:29:16.194,2018-10-31 11:29:36.257,20063
2018-10-31 11:29:36.257,2018-10-31 11:29:56.345,20088
2018-10-31 11:29:56.345,2018-10-31 11:30:11.454,15109
2018-10-31 11:30:11.454,2018-10-31 11:30:16.524,5070
2018-10-31 11:30:16.524,2018-10-31 11:30:36.584,20060
2018-10-31 11:30:36.584,2018-10-31 11:30:51.703,15119
2018-10-31 11:30:51.703,2018-10-31 11:31:01.766,10063
2018-10-31 11:31:01.766,2018-10-31 11:31:21.832,20066
2018-10-31 11:31:21.832,2018-10-31 11:31:41.899,20067
2018-10-31 11:31:41.899,2018-10-31 11:32:06.972,25073
2018-10-31 11:32:06.972,2018-10-31 11:32:12.031,5059
2018-10-31 11:32:12.031,2018-10-31 11:32:32.093,20062
2018-10-31 11:32:32.093,2018-10-31 11:32:37.151,5058
2018-10-31 11:32:37.151,2018-10-31 11:32:42.208,5057
2018-10-31 11:32:42.208,2018-10-31 11:33:02.266,20058
2018-10-31 11:33:02.266,2018-10-31 11:33:17.344,15078
2018-10-31 11:33:17.344,2018-10-31 11:33:37.417,20073
2018-10-31 11:33:37.417,2018-10-31 11:33:42.514,5097
2018-10-31 11:33:42.514,2018-10-31 11:34:02.614,20100
2018-10-31 11:34:02.614,2018-10-31 11:34:12.681,10067
2018-10-31 11:34:12.681,2018-10-31 11:34:27.744,15063
2018-10-31 11:34:27.744,2018-10-31 11:34:37.810,10066
2018-10-31 11:34:37.810,2018-10-31 11:34:42.871,5061
2018-10-31 11:34:42.871,2018-10-31 11:35:07.945,25074
2018-10-31 11:35:07.945,2018-10-31 11:35:13.003,5058
2018-10-31 11:35:13.003,2018-10-31 11:35:43.065,30062
2018-10-31 11:35:43.065,2018-10-31 11:35:53.131,10066
2018-10-31 11:35:53.131,2018-10-31 11:36:13.209,20078
2018-10-31 11:36:13.209,2018-10-31 11:36:23.279,10070
2018-10-31 11:36:23.279,2018-10-31 11:36:38.352,15073
2018-10-31 11:36:38.352,2018-10-31 11:37:08.416,30064
2018-10-31 11:37:08.416,2018-10-31 11:37:13.479,5063
2018-10-31 11:37:13.479,2018-10-31 11:37:33.537,20058
2018-10-31 11:37:33.537,2018-10-31 11:37:58.597,25060
2018-10-31 11:37:58.597,2018-10-31 11:38:03.656,5059
2018-10-31 11:38:03.656,2018-10-31 11:38:33.748,30092
2018-10-31 11:38:33.748,2018-10-31 11:38:43.814,10066
2018-10-31 11:38:43.814,2018-10-31 11:38:53.880,10066
2018-10-31 11:38:53.880,2018-10-31 11:39:13.945,20065
2018-10-31 11:39:13.945,2018-10-31 11:39:19.060,5115
2018-10-31 11:39:19.060,2018-10-31 11:39:39.136,20076
2018-10-31 11:39:39.136,2018-10-31 11:39:49.242,10106
2018-10-31 11:39:49.242,2018-10-31 11:39:59.310,10068
2018-10-31 11:39:59.310,2018-10-31 11:40:09.369,10059
2018-10-31 11:40:09.369,2018-10-31 11:40:29.464,20095
2018-10-31 11:40:29.464,2018-10-31 11:40:49.534,20070
2018-10-31 11:40:49.534,2018-10-31 11:41:19.663,30129
2018-10-31 11:41:19.663,2018-10-31 11:41:24.720,5057
2018-10-31 11:41:24.720,2018-10-31 11:41:54.789,30069
2018-10-31 11:41:54.789,2018-10-31 11:42:04.857,10068
2018-10-31 11:42:04.857,2018-10-31 11:42:24.948,20091
2018-10-31 11:42:24.948,2018-10-31 11:42:40.026,15078
2018-10-31 11:42:40.026,2018-10-31 11:43:00.163,20137
2018-10-31 11:43:00.163,2018-10-31 11:43:10.261,10098
2018-10-31 11:43:10.261,2018-10-31 11:43:40.344,30083
2018-10-31 11:43:40.344,2018-10-31 11:43:45.401,5057
2018-10-31 11:43:45.401,2018-10-31 11:44:20.532,35131
2018-10-31 11:44:20.532,2018-10-31 11:44:25.592,5060
2018-10-31 11:44:25.592,2018-10-31 11:44:50.694,25102
2018-10-31 11:44:50.694,2018-10-31 11:45:10.789,20095
2018-10-31 11:45:10.789,2018-10-31 11:45:20.858,10069
2018-10-31 11:45:20.858,2018-10-31 11:45:35.918,15060
2018-10-31 11:45:35.918,2018-10-31 11:45:55.978,20060
2018-10-31 11:45:55.978,2018-10-31 11:46:06.041,10063
2018-10-31 11:46:06.041,2018-10-31 11:46:26.103,20062
2018-10-31 11:46:26.103,2018-10-31 11:46:41.220,15117
2018-10-31 11:46:41.220,2018-10-31 11:46:46.329,5109
